Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
624,Jeffrey Lurie & family,$4.40 ,"$4,400,000,000 ",71,United States,Philadelphia Eagles,Others
624,Joe Mansueto,$4.40 ,"$4,400,000,000 ",66,United States,Investment research,Others
624,Qian Dongqi & family,$4.40 ,"$4,400,000,000 ",65,China,Home-cleaning robots,Others
624,Mikhail Shelkov,$4.40 ,"$4,400,000,000 ",54,Russia,Titanium,Others
636,Patrick Drahi,$4.30 ,"$4,300,000,000 ",59,France,Telecom,Others
636,Behdad Eghbali,$4.30 ,"$4,300,000,000 ",46,United States,Private equity,Others
636,Juan Carlos Escotet,$4.30 ,"$4,300,000,000 ",63,Venezuela,Banking,Others
636,Jose E. Feliciano,$4.30 ,"$4,300,000,000 ",49,United States,Private equity,Others
636,Hu Kaijun,$4.30 ,"$4,300,000,000 ",61,China,Pharmaceuticals,Others
636,Johnelle Hunt,$4.30 ,"$4,300,000,000 ",91,United States,Trucking,Others
636,Marian Ilitch,$4.30 ,"$4,300,000,000 ",90,United States,Little Caesars Pizza,Others
636,Daryl Katz,$4.30 ,"$4,300,000,000 ",61,Canada,Pharmacies,Others
636,Andrei Kozitsyn,$4.30 ,"$4,300,000,000 ",62,Russia,Metals,Others
636,Timur Kulibaev,$4.30 ,"$4,300,000,000 ",56,Kazakhstan,Banking,Others
636,Dinara Kulibaeva,$4.30 ,"$4,300,000,000 ",55,Kazakhstan,Banking,Others
636,Ian Livingstone,$4.30 ,"$4,300,000,000 ",60,United Kingdom,Real estate,Others
636,Richard Livingstone,$4.30 ,"$4,300,000,000 ",58,United Kingdom,Real estate,Others
636,Gwendolyn Sontheim Meyer,$4.30 ,"$4,300,000,000 ",61,United States,Cargill,Others
636,Jay Paul,$4.30 ,"$4,300,000,000 ",75,United States,Real estate,Others
636,Pham Nhat Vuong,$4.30 ,"$4,300,000,000 ",54,Vietnam,Diversified,Others
636,Jon Stryker,$4.30 ,"$4,300,000,000 ",64,United States,Medical equipment,Others
636,Daniel Tsai,$4.30 ,"$4,300,000,000 ",66,Taiwan,Finance,Others
636,Richard Tsai,$4.30 ,"$4,300,000,000 ",65,Taiwan,Finance,Others
636,Frank Wang,$4.30 ,"$4,300,000,000 ",42,China,Drones,Others
636,Wang Junshi & family,$4.30 ,"$4,300,000,000 ",74,China,Solar inverters,Others
636,Wang Wenjing,$4.30 ,"$4,300,000,000 ",58,China,Business software,Others
636,Herbert Wertheim,$4.30 ,"$4,300,000,000 ",83,United States,Investments,Others
659,Shari Arison,$4.20 ,"$4,200,000,000 ",65,Israel,Carnival Cruises,Others
659,Pyotr Aven,$4.20 ,"$4,200,000,000 ",68,Russia,"Oil, banking, telecom",Others
659,Chan Laiwa & family,$4.20 ,"$4,200,000,000 ",82,China,Real estate,Others
659,Chen Hua,$4.20 ,"$4,200,000,000 ",57,China,Real estate,Others
659,Thomas Hagen,$4.20 ,"$4,200,000,000 ",87,United States,Insurance,Others
659,"Rupert Johnson, Jr.",$4.20 ,"$4,200,000,000 ",82,United States,Franklin Templeton,Others
659,Dewi Kam,$4.20 ,"$4,200,000,000 ",72,Indonesia,Coal,Others
659,Min Kao & family,$4.20 ,"$4,200,000,000 ",74,United States,Navigation equipment,Others
659,Marc Ladreit de Lacharriere,$4.20 ,"$4,200,000,000 ",82,France,Finance,Others
659,Eric Lefkofsky,$4.20 ,"$4,200,000,000 ",53,United States,"Groupon, investments",Others
659,Lin Bin,$4.20 ,"$4,200,000,000 ",55,United States,Smartphones,Others
659,Lin Li,$4.20 ,"$4,200,000,000 ",59,China,Investments,Others
659,Michael Moritz,$4.20 ,"$4,200,000,000 ",68,United States,Venture capital,Others
659,Jean (Gigi) Pritzker,$4.20 ,"$4,200,000,000 ",60,United States,"Hotels, investments",Others
659,E. Joe Shoen,$4.20 ,"$4,200,000,000 ",73,United States,U-Haul,Others
659,Jeff Skoll,$4.20 ,"$4,200,000,000 ",58,United States,EBay,Others
659,Lynsi Snyder,$4.20 ,"$4,200,000,000 ",40,United States,In-N-Out Burger,Others
659,Djoko Susanto,$4.20 ,"$4,200,000,000 ",73,Indonesia,Supermarkets,Others
659,Tahir & family,$4.20 ,"$4,200,000,000 ",71,Indonesia,Diversified,Others
659,Peter Thiel,$4.20 ,"$4,200,000,000 ",55,United States,"Facebook, investments",Others
679,Andrej Babis,$4.10 ,"$4,100,000,000 ",68,Czech Republic,Agriculture,Others
679,Danielle Bellon & family,$4.10 ,"$4,100,000,000 ",83,France,Food services,Others
679,Hubert Burda,$4.10 ,"$4,100,000,000 ",83,Germany,Publishing,Others
679,Nick Caporella,$4.10 ,"$4,100,000,000 ",87,United States,Beverages,Others
679,John Catsimatidis,$4.10 ,"$4,100,000,000 ",74,United States,"Oil, real estate",Others
679,Scott Cook,$4.10 ,"$4,100,000,000 ",70,United States,Software,Others
679,Luca Garavoglia,$4.10 ,"$4,100,000,000 ",54,Italy,Spirits,Others
679,Antti Herlin,$4.10 ,"$4,100,000,000 ",66,Finland,"Elevators, escalators",Others
679,Hong Jie,$4.10 ,"$4,100,000,000 ",55,China,Paint,Others
679,"Jeremy Jacobs, Sr. & family",$4.10 ,"$4,100,000,000 ",83,United States,Food service,Others
679,Igor Kesaev,$4.10 ,"$4,100,000,000 ",56,Russia,"Tobacco distribution, retail",Others
679,Mary Alice Dorrance Malone,$4.10 ,"$4,100,000,000 ",73,United States,Campbell Soup,Others
679,Joao Moreira Salles,$4.10 ,"$4,100,000,000 ",61,Brazil,"Banking, minerals",Others
679,Walther Moreira Salles Junior,$4.10 ,"$4,100,000,000 ",66,Brazil,"Banking, minerals",Others
679,Arturo Moreno,$4.10 ,"$4,100,000,000 ",76,United States,"Billboards, Los Angeles Angels",Others
679,Peter Spuhler,$4.10 ,"$4,100,000,000 ",63,Switzerland,Train cars,Others
679,Donald Sterling,$4.10 ,"$4,100,000,000 ",88,United States,Real estate,Others
679,Kerry Stokes,$4.10 ,"$4,100,000,000 ",82,Australia,"Construction equipment, media",Others
679,Ken Xie,$4.10 ,"$4,100,000,000 ",60,United States,Cybersecurity,Others
679,Liangzhi Xie & family,$4.10 ,"$4,100,000,000 ",57,China,Biotech,Others
699,Sid Bass,$4 ,"$4,000,000,000 ",80,United States,"Oil, investments",Others
699,Ben Chestnut,$4 ,"$4,000,000,000 ",48,United States,Email marketing,Others
699,Elisabeth DeLuca & family,$4 ,"$4,000,000,000 ",75,United States,Subway,Others
699,Guangchang Guo,$4 ,"$4,000,000,000 ",56,China,Conglomerate,Others
699,Vinod Rai Gupta,$4 ,"$4,000,000,000 ",77,India,Electrical equipment,Others
699,John Henry,$4 ,"$4,000,000,000 ",73,United States,Sports,Others
699,Travis Kalanick,$4 ,"$4,000,000,000 ",46,United States,Uber,Others
699,Koon Poh Keong,$4 ,"$4,000,000,000 ",61,Malaysia,Aluminum,Others
699,Dan Kurzius,$4 ,"$4,000,000,000 ",51,United States,Email marketing,Others
699,Paul Lee,$4 ,"$4,000,000,000 ",65,United States,Battery separators,Others
699,Tobi Lutke,$4 ,"$4,000,000,000 ",42,Canada,E-commerce,Others
699,Gail Miller,$4 ,"$4,000,000,000 ",79,United States,Car dealerships,Others
699,Rajan Mittal,$4 ,"$4,000,000,000 ",63,India,Telecom,Others
699,Rakesh Mittal,$4 ,"$4,000,000,000 ",67,India,Telecom,Others
699,Isaac Perlmutter,$4 ,"$4,000,000,000 ",80,United States,Marvel comics,Others
699,"Bernard Saul, II.",$4 ,"$4,000,000,000 ",90,United States,"Banking, real estate",Others
699,Shaul Shani,$4 ,"$4,000,000,000 ",68,Israel,Telecom,Others
699,Steven Spielberg,$4 ,"$4,000,000,000 ",76,United States,Movies,Others
699,Jerzy Starak,$4 ,"$4,000,000,000 ",75,Poland,Pharmaceuticals,Others
699,Torbjorn Tornqvist,$4 ,"$4,000,000,000 ",69,Sweden,Oil trading,Others
699,Rufino Vigil Gonzalez,$4 ,"$4,000,000,000 ",74,Mexico,Steel,Others
699,Zhang Daocai,$4 ,"$4,000,000,000 ",73,China,Valves,Others
721,Juergen Blickle,$3.90 ,"$3,900,000,000 ",76,Germany,Auto parts,Others
721,"Austen Cargill, II.",$3.90 ,"$3,900,000,000 ",72,United States,Cargill,Others
721,"James Cargill, II.",$3.90 ,"$3,900,000,000 ",73,United States,Cargill,Others
721,Vanich Chaiyawan,$3.90 ,"$3,900,000,000 ",91,Thailand,"Insurance, beverages",Others
721,Dongsheng Chen,$3.90 ,"$3,900,000,000 ",65,China,Insurance,Others
721,Mong-Koo Chung,$3.90 ,"$3,900,000,000 ",85,South Korea,Hyundai,Others
721,Kenneth Dart,$3.90 ,"$3,900,000,000 ",67,Belize,Investments,Others
721,Giuseppe De'Longhi & family,$3.90 ,"$3,900,000,000 ",83,Italy,Coffee makers,Others
721,Guenther Fielmann & family,$3.90 ,"$3,900,000,000 ",83,Germany,Optometry,Others
721,W. Herbert Hunt,$3.90 ,"$3,900,000,000 ",94,United States,Oil,Others
721,James Irsay,$3.90 ,"$3,900,000,000 ",63,United States,Indianapolis Colts,Others
721,Somurai Jaruphnit,$3.90 ,"$3,900,000,000 ",N/A,Thailand,Diversified,Others
721,Marianne Liebmann,$3.90 ,"$3,900,000,000 ",69,United States,Cargill,Others
721,Jorge Moll Filho & family,$3.90 ,"$3,900,000,000 ",78,Brazil,Hospitals,Others
721,Fernando Roberto Moreira Salles,$3.90 ,"$3,900,000,000 ",76,Brazil,"Banking, minerals",Others
721,Pedro Moreira Salles,$3.90 ,"$3,900,000,000 ",63,Brazil,"Banking, minerals",Others
721,Gabe Newell,$3.90 ,"$3,900,000,000 ",60,United States,Videogames,Others
721,Alfred Oetker,$3.90 ,"$3,900,000,000 ",56,Germany,Consumer goods,Others
721,Carl Ferdinand Oetker,$3.90 ,"$3,900,000,000 ",50,Germany,Consumer goods,Others
721,Julia Oetker,$3.90 ,"$3,900,000,000 ",44,Germany,Consumer goods,Others
721,Ruan Hongliang & family,$3.90 ,"$3,900,000,000 ",62,China,Glass,Others
721,Mark Stevens,$3.90 ,"$3,900,000,000 ",63,United States,Venture capital,Others
721,Tsai Hong-tu,$3.90 ,"$3,900,000,000 ",70,Taiwan,Finance,Others
721,Nusli Wadia,$3.90 ,"$3,900,000,000 ",79,India,Consumer goods,Others
721,Wu Yiling,$3.90 ,"$3,900,000,000 ",73,China,Pharmaceuticals,Others
721,Yu Renrong,$3.90 ,"$3,900,000,000 ",57,China,Semiconductors,Others
721,Zhu Baoguo & family,$3.90 ,"$3,900,000,000 ",60,China,Pharmaceuticals,Others
748,Rahul Bhatia,$3.80 ,"$3,800,000,000 ",63,India,Aviation,Others
748,Francesco Gaetano Caltagirone,$3.80 ,"$3,800,000,000 ",80,Italy,"Cement, diversified",Others
748,Barry Diller,$3.80 ,"$3,800,000,000 ",81,United States,Online media,Others
748,Wesley Edens,$3.80 ,"$3,800,000,000 ",61,United States,Investments,Others
748,Stephen Feinberg,$3.80 ,"$3,800,000,000 ",63,United States,Private equity,Others
748,Rakesh Gangwal,$3.80 ,"$3,800,000,000 ",69,United States,Airline,Others
748,Joseph Grendys,$3.80 ,"$3,800,000,000 ",61,United States,Poultry processing,Others
748,Martha Ingram & family,$3.80 ,"$3,800,000,000 ",87,United States,"Book distribution, transportation",Others
748,Li Xiang,$3.80 ,"$3,800,000,000 ",41,China,Electric vehicles,Others
748,"H. Ross Perot, Jr.",$3.80 ,"$3,800,000,000 ",64,United States,Real estate,Others
748,Chandru Raheja,$3.80 ,"$3,800,000,000 ",82,India,Real estate,Others
748,Trevor Rees-Jones,$3.80 ,"$3,800,000,000 ",71,United States,Oil & gas,Others
748,Yasumitsu Shigeta,$3.80 ,"$3,800,000,000 ",58,Japan,Mobile phone retailer,Others
748,Su Qingcan,$3.80 ,"$3,800,000,000 ",54,China,Healthcare,Others
748,Tsai Cheng-ta,$3.80 ,"$3,800,000,000 ",73,Taiwan,Finance,Others
748,Steven Udvar-Hazy,$3.80 ,"$3,800,000,000 ",77,United States,Aircraft leasing,Others
748,Elizabeth Uihlein,$3.80 ,"$3,800,000,000 ",77,United States,Packaging materials,Others
748,Richard Uihlein,$3.80 ,"$3,800,000,000 ",77,United States,Packaging materials,Others
766,Hayes Barnard,$3.70 ,"$3,700,000,000 ",51,United States,Fintech,Others
766,William Berkley,$3.70 ,"$3,700,000,000 ",76,United States,Insurance,Others
766,Charles Cohen,$3.70 ,"$3,700,000,000 ",71,United States,Real estate,Others
766,Yakir Gabay,$3.70 ,"$3,700,000,000 ",56,Cyprus,Real estate,Others
766,Huang Li,$3.70 ,"$3,700,000,000 ",59,China,Imaging systems,Others
766,Brad Jacobs,$3.70 ,"$3,700,000,000 ",66,United States,Logistics,Others
766,Ji Qi,$3.70 ,"$3,700,000,000 ",56,China,"Hotels, motels",Others
766,Jason Jiang,$3.70 ,"$3,700,000,000 ",50,China,Advertising,Others
766,Jim Kavanaugh,$3.70 ,"$3,700,000,000 ",60,United States,IT provider,Others
766,Richard LeFrak & family,$3.70 ,"$3,700,000,000 ",77,United States,Real estate,Others
766,Mikhail Lomtadze,$3.70 ,"$3,700,000,000 ",47,Georgia,Fintech,Others
766,Tom Morris,$3.70 ,"$3,700,000,000 ",68,United Kingdom,Retail,Others
766,Shigenobu Nagamori,$3.70 ,"$3,700,000,000 ",78,Japan,Motors,Others
766,Daniel Och,$3.70 ,"$3,700,000,000 ",62,United States,Hedge funds,Others
766,Horst Paulmann & family,$3.70 ,"$3,700,000,000 ",88,Chile,Retail,Others
766,Anthony Pritzker,$3.70 ,"$3,700,000,000 ",62,United States,"Hotels, investments",Others
766,John Sall,$3.70 ,"$3,700,000,000 ",75,United States,Software,Others
766,Howard Schultz,$3.70 ,"$3,700,000,000 ",69,United States,Starbucks,Others
766,Richard Schulze,$3.70 ,"$3,700,000,000 ",82,United States,Best Buy,Others
766,Yitzhak Tshuva,$3.70 ,"$3,700,000,000 ",74,Israel,Real estate,Others
766,Wang Yanqing & family,$3.70 ,"$3,700,000,000 ",56,China,Electrical equipment,Others
787,Rajiv Bajaj,$3.60 ,"$3,600,000,000 ",56,India,Diversified,Others
787,Sanjiv Bajaj,$3.60 ,"$3,600,000,000 ",53,India,Diversified,Others
787,Leonid Boguslavsky,$3.60 ,"$3,600,000,000 ",71,Canada,Venture capital,Others
787,Jim Coulter,$3.60 ,"$3,600,000,000 ",63,United States,Private equity,Others
787,Nicolas D'Ieteren,$3.60 ,"$3,600,000,000 ",47,Belgium,"Auto parts, distribution",Others
787,Beatriz Davila de Santo Domingo,$3.60 ,"$3,600,000,000 ",84,Colombia,Beer,Others
787,Bob Gaglardi,$3.60 ,"$3,600,000,000 ",82,Canada,Hotels,Others
787,Jaime Gilinski Bacal,$3.60 ,"$3,600,000,000 ",65,Colombia,Banking,Others
787,Pansy Ho,$3.60 ,"$3,600,000,000 ",60,Hong Kong,Casinos,Others
787,Alan Howard,$3.60 ,"$3,600,000,000 ",59,United Kingdom,Hedge funds,Others
787,Huang Yi,$3.60 ,"$3,600,000,000 ",61,Hong Kong,Car dealerships,Others
787,Peter Kellogg,$3.60 ,"$3,600,000,000 ",80,United States,Investments,Others
787,Vyacheslav Kim,$3.60 ,"$3,600,000,000 ",53,Kazakhstan,Fintech,Others
787,Josh Kushner,$3.60 ,"$3,600,000,000 ",37,United States,Venture capital,Others
787,Samuel Tak Lee,$3.60 ,"$3,600,000,000 ",83,Hong Kong,Real estate,Others
787,Edwin Leong,$3.60 ,"$3,600,000,000 ",71,Hong Kong,Real estate,Others
787,"Stephen Mandel, Jr.",$3.60 ,"$3,600,000,000 ",67,United States,Hedge funds,Others
787,Mohamed Mansour,$3.60 ,"$3,600,000,000 ",75,Egypt,Diversified,Others
787,Masahiro Miki,$3.60 ,"$3,600,000,000 ",67,Japan,Shoes,Others
787,Masahiro Noda,$3.60 ,"$3,600,000,000 ",84,Japan,Software,Others
787,Cliff Obrecht,$3.60 ,"$3,600,000,000 ",37,Australia,Software,Others
787,Melanie Perkins,$3.60 ,"$3,600,000,000 ",35,Australia,Software,Others
787,J.B. Pritzker,$3.60 ,"$3,600,000,000 ",58,United States,"Hotels, investments",Others
787,Juan Roig,$3.60 ,"$3,600,000,000 ",73,Spain,Supermarkets,Others
787,Jerry Speyer,$3.60 ,"$3,600,000,000 ",82,United States,Real estate,Others
787,Lawrence Stroll,$3.60 ,"$3,600,000,000 ",63,Canada,Fashion investments,Others
787,Tung Chee Chen,$3.60 ,"$3,600,000,000 ",80,Hong Kong,Shipping,Others
787,Wang Junlin,$3.60 ,"$3,600,000,000 ",60,China,Liquor,Others
787,Xia Zuoquan,$3.60 ,"$3,600,000,000 ",61,China,"Automobiles, batteries",Others
787,Zeng Fangqin,$3.60 ,"$3,600,000,000 ",57,China,Smartphone components,Others
787,Zhang Jian,$3.60 ,"$3,600,000,000 ",54,China,"Electric bikes, scooters",Others
818,Rocco Basilico,$3.50 ,"$3,500,000,000 ",33,Italy,Eyeglasses,Others
818,Maurizio Billi,$3.50 ,"$3,500,000,000 ",65,Brazil,Generic drugs,Others
818,Fashu Chen,$3.50 ,"$3,500,000,000 ",62,China,Investments,Others
818,Giuseppe Crippa & family,$3.50 ,"$3,500,000,000 ",87,Italy,Microchip testing,Others
818,Daniel D'Aniello,$3.50 ,"$3,500,000,000 ",76,United States,Private equity,Others
818,Claudio Del Vecchio,$3.50 ,"$3,500,000,000 ",66,Italy,Eyeglasses,Others
818,Clemente Del Vecchio,$3.50 ,"$3,500,000,000 ",18,Italy,Eyeglases,Others
818,Leonardo Maria Del Vecchio,$3.50 ,"$3,500,000,000 ",27,Italy,Eyeglasses,Others
818,Luca Del Vecchio,$3.50 ,"$3,500,000,000 ",21,Italy,Eyeglasses,Others
818,Marisa Del Vecchio,$3.50 ,"$3,500,000,000 ",64,Italy,Eyeglasses,Others
818,Paola Del Vecchio,$3.50 ,"$3,500,000,000 ",61,Italy,Eyeglasses,Others
818,Walter P.J. Droege,$3.50 ,"$3,500,000,000 ",70,Germany,Investing,Others
818,Fan Daidi,$3.50 ,"$3,500,000,000 ",57,China,Skincare,Others
818,Peter Gassner,$3.50 ,"$3,500,000,000 ",58,United States,Software,Others
818,Mikhail Gutseriev,$3.50 ,"$3,500,000,000 ",65,Russia,"Oil, coal, real estate",Others
818,Patrick Lee,$3.50 ,"$3,500,000,000 ",81,Hong Kong,Paper,Others
818,Leng Youbin,$3.50 ,"$3,500,000,000 ",54,China,Infant formula,Others
818,Daniel Loeb,$3.50 ,"$3,500,000,000 ",61,United States,Hedge funds,Others
818,Margarita Louis-Dreyfus & family,$3.50 ,"$3,500,000,000 ",60,Switzerland,Commodities,Others
818,Prasert Prasarttong-Osoth,$3.50 ,"$3,500,000,000 ",90,Thailand,Hospitals,Others
818,Ira Rennert,$3.50 ,"$3,500,000,000 ",88,United States,Investments,Others
818,Dirk Rossmann & family,$3.50 ,"$3,500,000,000 ",76,Germany,Drugstores,Others
818,Arkady Rotenberg,$3.50 ,"$3,500,000,000 ",71,Russia,"Construction, pipes, banking",Others
818,Remo Ruffini,$3.50 ,"$3,500,000,000 ",61,Italy,Winter jackets,Others
818,Karin Sartorius-Herbst,$3.50 ,"$3,500,000,000 ",N/A,Germany,Biopharmaceuticals,Others
818,Vivek Chaand Sehgal,$3.50 ,"$3,500,000,000 ",66,Australia,Auto parts,Others
818,Scott Shleifer,$3.50 ,"$3,500,000,000 ",45,United States,Private equity,Others
818,Thomas Siebel,$3.50 ,"$3,500,000,000 ",70,United States,Business software,Others
818,Wim van der Leegte & family,$3.50 ,"$3,500,000,000 ",75,Netherlands,Manufacturing,Others
818,Xiao Yongming & family,$3.50 ,"$3,500,000,000 ",58,China,Fertilizer,Others
818,Michael Xie,$3.50 ,"$3,500,000,000 ",54,United States,Cybersecurity,Others
818,Yang Shaopeng,$3.50 ,"$3,500,000,000 ",65,China,Shipping,Others
818,Nicoletta Zampillo,$3.50 ,"$3,500,000,000 ",65,Italy,Eyeglasses,Others
818,Barry Zekelman,$3.50 ,"$3,500,000,000 ",56,Canada,Steel,Others
852,William Ackman,$3.40 ,"$3,400,000,000 ",56,United States,Hedge funds,Others
852,Somphote Ahunai,$3.40 ,"$3,400,000,000 ",55,Thailand,Renewable energy,Others
852,Igor Altushkin,$3.40 ,"$3,400,000,000 ",52,Russia,Metals,Others
852,Ramon Ang,$3.40 ,"$3,400,000,000 ",69,Philippines,Diversified,Others
852,Acharya Balkrishna,$3.40 ,"$3,400,000,000 ",50,India,Consumer goods,Others
852,Markus Blocher,$3.40 ,"$3,400,000,000 ",52,Switzerland,Chemicals,Others
852,Richard Branson,$3.40 ,"$3,400,000,000 ",72,United Kingdom,Virgin,Others
852,Cho Jung-ho,$3.40 ,"$3,400,000,000 ",64,South Korea,Finance,Others
852,Alessandra Garavoglia,$3.40 ,"$3,400,000,000 ",63,Italy,Spirits,Others
852,Laurence Graff & family,$3.40 ,"$3,400,000,000 ",84,United Kingdom,Diamond jewelry,Others
852,"Amos Hostetter, Jr.",$3.40 ,"$3,400,000,000 ",86,United States,Cable television,Others
852,"Robert ""Woody"" Johnson",$3.40 ,"$3,400,000,000 ",75,United States,"Johnson & Johnson, sports",Others
852,Steven Klinsky,$3.40 ,"$3,400,000,000 ",66,United States,Investments,Others
852,William Lauder,$3.40 ,"$3,400,000,000 ",62,United States,Estee Lauder,Others
852,John Middleton,$3.40 ,"$3,400,000,000 ",68,United States,Tobacco,Others
852,Hiroshi Mikitani,$3.40 ,"$3,400,000,000 ",58,Japan,Online retail,Others
852,Bob Parsons,$3.40 ,"$3,400,000,000 ",72,United States,Web hosting,Others
852,J. Joe Ricketts & family,$3.40 ,"$3,400,000,000 ",81,United States,TD Ameritrade,Others
852,Herb Simon,$3.40 ,"$3,400,000,000 ",88,United States,Real estate,Others
852,Leena Tewari,$3.40 ,"$3,400,000,000 ",65,India,Pharmaceuticals,Others
852,Stefan von Holtzbrinck,$3.40 ,"$3,400,000,000 ",59,Germany,Publishing,Others
852,Hans Peter Wild,$3.40 ,"$3,400,000,000 ",81,Switzerland,Flavorings,Others
852,Wu Guanjiang & family,$3.40 ,"$3,400,000,000 ",54,China,Pharmaceuticals,Others
852,Yi Zheng,$3.40 ,"$3,400,000,000 ",52,China,Software,Others
852,Eric Yuan & family,$3.40 ,"$3,400,000,000 ",53,United States,Zoom Video Communications,Others
852,Charles Zegar,$3.40 ,"$3,400,000,000 ",75,United States,Bloomberg LP,Others
878,Mohed Altrad,$3.30 ,"$3,300,000,000 ",75,France,"Scaffolding, cement mixers",Others
878,John Arnold,$3.30 ,"$3,300,000,000 ",49,United States,Hedge funds,Others
878,Bill Austin,$3.30 ,"$3,300,000,000 ",81,United States,Hearing aids,Others
878,Chen Shibin,$3.30 ,"$3,300,000,000 ",56,China,Quartz products,Others
878,Bennett Dorrance,$3.30 ,"$3,300,000,000 ",77,United States,Campbell Soup,Others
878,Walter Faria,$3.30 ,"$3,300,000,000 ",68,Brazil,Beer,Others
878,Walter Frey,$3.30 ,"$3,300,000,000 ",79,Switzerland,Car dealerships,Others
878,Fu Liquan & family,$3.30 ,"$3,300,000,000 ",55,China,Surveillance equipment,Others
878,John Gandel,$3.30 ,"$3,300,000,000 ",88,Australia,Shopping malls,Others
878,Peter Gilgan,$3.30 ,"$3,300,000,000 ",72,Canada,Homebuilding,Others
878,Kwek Leng Beng,$3.30 ,"$3,300,000,000 ",82,Singapore,Diversified,Others
